customer_id,customer_name,total_rentals,unique_films_rented,unique_categories_rented,rental_frequency,late_return_rate,total_spent,new_films_rented,cluster
26,JESSICA HALL,34,34,14,2.5294,0.5588,152.66,34,2
27,SHIRLEY ALLEN,31,30,13,2.7419,0.5484,126.69,31,2
28,CYNTHIA YOUNG,32,32,16,8.2188,0.3750,111.68,32,2
29,ANGELA HERNANDEZ,36,36,15,7.3333,0.4722,140.64,36,2
30,MELISSA KING,34,31,15,1.9706,0.5000,123.66,34,2
31,BRENDA WRIGHT,26,26,12,2.6154,0.5385,104.74,26,0
32,AMY LOPEZ,29,29,13,2.9655,0.5172,127.71,29,0
33,ANNA HILL,21,21,14,12.5714,0.3810,91.79,21,1
34,REBECCA SCOTT,24,24,12,2.7083,0.3333,89.76,24,3
35,VIRGINIA GREEN,32,32,13,2.7500,0.5625,129.68,32,2
36,KATHLEEN ADAMS,27,26,13,3.2593,0.2963,92.73,27,0
37,PAMELA BAKER,23,23,11,3.9130,0.5652,95.77,23,3
38,MARTHA GONZALEZ,34,34,13,2.0294,0.5588,127.66,34,2
39,DEBRA NELSON,29,28,15,2.3103,0.6552,141.71,29,2
40,AMANDA CARTER,27,26,13,3.2963,0.6667,110.73,27,0
41,STEPHANIE MITCHELL,25,25,11,9.6000,0.6000,118.75,25,1
42,CAROLYN PEREZ,30,28,16,8.7333,0.4667,117.70,30,2
43,CHRISTINE ROBERTS,24,23,12,11.0417,0.2917,99.76,24,1
44,MARIE TURNER,26,26,12,10.1923,0.3462,114.74,26,1
45,JANET PHILLIPS,27,27,13,3.2963,0.5185,127.73,27,0
46,CATHERINE CAMPBELL,34,33,15,2.5882,0.2647,142.66,34,2
47,FRANCES PARKER,22,20,10,4.0455,0.6364,108.78,22,3
48,ANN EVANS,17,17,10,5.2353,0.7059,76.83,17,3
49,JOYCE EDWARDS,28,28,13,3.1429,0.4286,130.72,28,0
50,DIANE COLLINS,35,35,14,2.4571,0.5429,169.65,35,2
51,ALICE STEWART,33,33,13,2.6970,0.4545,138.67,33,2
52,JULIE SANCHEZ,29,29,15,8.9655,0.5172,107.71,29,1
53,HEATHER MORRIS,30,30,13,8.8333,0.4667,115.70,30,1
54,TERESA ROGERS,29,28,12,3.0690,0.4138,128.71,29,0
55,DORIS REED,22,21,14,3.9091,0.3636,100.78,22,3
56,GLORIA COOK,30,29,14,8.8333,0.6000,135.70,30,2
57,EVELYN MORGAN,28,28,12,3.1786,0.4286,114.72,28,0
58,JEAN BELL,27,26,14,9.7778,0.4815,115.73,27,1
59,CHERYL MURPHY,27,26,13,3.2963,0.5926,133.73,27,0
60,MILDRED BAILEY,25,25,14,10.5600,0.4800,98.75,25,1
61,KATHERINE RIVERA,14,14,10,6.0000,0.5714,58.86,14,3
62,JOAN COOPER,23,23,13,3.6957,0.4783,84.77,23,3
63,ASHLEY RICHARDSON,25,25,14,2.6800,0.6400,112.75,25,0
64,JUDITH COX,33,32,14,7.9394,0.4545,100.67,33,2
65,ROSE HOWARD,22,22,12,3.9545,0.6364,103.78,22,3
66,JANICE WARD,34,34,15,2.5000,0.5294,144.66,34,2
67,KELLY TORRES,22,22,12,3.9545,0.4545,99.78,22,3
68,NICOLE PETERSON,22,22,12,3.0909,0.4091,94.78,22,3
69,JUDY GRAY,25,25,13,10.4800,0.5600,96.75,25,1
70,CHRISTINA RAMIREZ,18,17,11,4.6667,0.3889,80.82,18,3
71,KATHY JAMES,30,30,14,2.9667,0.5333,129.70,30,2
72,THERESA WATSON,30,28,14,2.8333,0.4333,99.70,30,0
73,BEVERLY BROOKS,24,23,11,11.0417,0.3750,97.76,24,1
74,DENISE KELLY,27,26,13,3.1111,0.6667,103.73,27,0
75,TAMMY SANDERS,41,41,16,6.4390,0.5122,155.59,41,2
76,IRENE PRICE,23,23,11,3.7826,0.4783,77.77,23,3
77,JANE BENNETT,28,28,12,3.1429,0.5714,100.72,28,0
78,LORI WOOD,31,31,12,2.1290,0.6774,141.69,31,2
79,RACHEL BARNES,22,22,10,3.7727,0.4091,84.78,22,3
80,MARILYN ROSS,30,29,15,8.0000,0.6667,137.70,30,2
81,ANDREA HENDERSON,22,22,10,4.0455,0.5000,93.78,22,3
82,KATHRYN COLEMAN,26,26,14,3.4615,0.6538,130.74,26,0
83,LOUISE JENKINS,25,25,13,10.5600,0.4400,101.75,25,1
84,SARA PERRY,33,32,14,2.6364,0.4242,141.67,33,2
85,ANNE POWELL,23,23,12,3.6087,0.4783,87.77,23,3
86,JACQUELINE LONG,33,33,15,2.7273,0.4848,148.67,33,2
87,WANDA PATTERSON,30,29,13,8.7667,0.5000,145.70,30,2
88,BONNIE HUGHES,21,21,13,4.2857,0.6190,87.79,21,3
89,JULIA FLORES,32,32,15,2.8125,0.5938,134.68,32,2
90,RUBY WASHINGTON,28,27,12,2.3929,0.5357,110.72,28,0
91,LOIS BUTLER,35,35,15,7.5429,0.4286,113.65,35,2
92,TINA SIMMONS,28,28,13,3.1429,0.4643,133.72,28,0
93,PHYLLIS FOSTER,23,23,12,3.9130,0.5217,91.77,23,3
94,NORMA GONZALES,21,21,13,12.6190,0.5238,79.79,21,1
95,PAULA BRYANT,18,18,11,4.7222,0.5000,77.82,18,3
96,DIANA ALEXANDER,27,27,13,2.5556,0.4815,105.73,27,0
97,ANNIE RUSSELL,18,18,10,3.6667,0.2778,58.82,18,3
98,LILLIAN GRIFFIN,25,25,14,3.5600,0.5600,106.75,25,0
99,EMILY DIAZ,24,23,12,10.8333,0.3750,91.76,24,1
100,ROBIN HAYES,24,24,12,11.0417,0.5000,102.76,24,1
101,PEGGY MYERS,24,24,10,10.9583,0.5417,96.76,24,1
102,CRYSTAL FORD,33,33,14,2.6970,0.6364,137.67,33,2
103,GLADYS HAMILTON,31,31,15,2.8710,0.5484,146.69,31,2
104,RITA GRAHAM,24,24,13,3.6667,0.5417,92.76,24,0
105,DAWN SULLIVAN,26,26,10,3.3846,0.5769,120.74,26,0
106,CONNIE WALLACE,23,23,13,3.7391,0.5217,100.77,23,0
107,FLORENCE WOODS,30,30,12,8.8000,0.5333,126.70,30,1
108,TRACY COLE,30,29,14,8.8333,0.4333,132.70,30,1
109,EDNA WEST,26,26,15,3.4231,0.6154,107.74,26,0
110,TIFFANY JORDAN,14,14,9,6.1429,0.5000,59.86,14,3
111,CARMEN OWENS,26,25,11,10.0769,0.6154,97.74,26,1
112,ROSA REYNOLDS,30,30,13,2.9333,0.5000,133.70,30,2
113,CINDY FISHER,29,28,16,3.0000,0.6207,113.71,29,0
114,GRACE ELLIS,33,33,15,8.0000,0.3030,139.67,33,2
115,WENDY HARRISON,30,30,13,8.6667,0.4333,91.70,30,1
116,VICTORIA GIBSON,27,27,14,3.0741,0.4444,111.73,27,0
117,EDITH MCDONALD,19,18,11,4.5263,0.3158,71.81,19,3
118,KIM CRUZ,21,20,12,4.1905,0.6190,82.79,21,3
119,SHERRY MARSHALL,34,32,14,2.6471,0.5294,153.66,34,2
120,SYLVIA ORTIZ,32,32,13,8.2813,0.5938,143.68,32,2
121,JOSEPHINE GOMEZ,26,26,14,3.4231,0.6154,109.74,26,0
122,THELMA MURRAY,32,27,12,2.5938,0.5000,126.68,32,0
123,SHANNON FREEMAN,24,24,12,3.5417,0.5833,100.76,24,0
124,SHEILA WELLS,18,18,13,4.7778,0.5556,73.82,18,3
125,ETHEL WEBB,32,32,13,2.7500,0.4688,135.68,32,2
126,ELLEN SIMPSON,28,28,11,3.2143,0.4643,117.72,28,0
127,ELAINE STEVENS,24,24,13,3.6667,0.5833,107.76,24,0
128,MARJORIE TUCKER,32,32,13,2.6563,0.5313,127.68,32,2
129,CARRIE PORTER,34,33,15,1.9706,0.4706,124.66,34,2
130,CHARLOTTE HUNTER,24,24,13,3.7917,0.5000,93.76,24,0
131,MONICA HICKS,30,30,15,3.0000,0.3667,128.70,30,2
132,ESTHER CRAWFORD,28,27,12,2.4286,0.5000,95.72,28,0
133,PAULINE HENRY,27,27,12,3.2963,0.4074,98.73,27,0
134,EMMA BOYD,23,23,11,3.8261,0.4348,94.77,23,3
135,JUANITA MASON,30,30,15,8.8333,0.6000,110.70,30,2
136,ANITA MORALES,15,15,11,5.6000,0.6000,62.85,15,3
137,RHONDA KENNEDY,39,38,15,2.1795,0.6923,194.61,39,2
138,HAZEL WARREN,34,34,14,2.5588,0.3824,110.66,34,2
139,AMBER DIXON,27,27,13,2.5926,0.5185,113.73,27,0
140,EVA RAMOS,18,18,11,3.7778,0.5000,83.82,18,3
141,DEBBIE REYES,32,32,12,2.6563,0.3750,130.68,32,2
142,APRIL BURNS,26,25,14,10.1923,0.5000,94.74,26,1
143,LESLIE GORDON,22,22,13,4.0455,0.4545,89.78,22,3
144,CLARA SHAW,42,42,16,2.0952,0.5476,195.58,42,2
145,LUCILLE HOLMES,28,28,11,3.0357,0.4643,108.72,28,0
146,JAMIE RICE,29,29,14,2.9655,0.5517,139.71,29,2
147,JOANNE ROBERTSON,34,34,13,2.5882,0.4118,127.66,34,2
148,ELEANOR HUNT,46,46,14,1.8913,0.5435,216.54,46,2
149,VALERIE BLACK,26,26,15,3.3077,0.6538,121.74,26,0
150,DANIELLE DANIELS,25,25,14,3.4400,0.6800,105.75,25,0
151,MEGAN PALMER,27,27,13,3.2963,0.2963,92.73,27,0
152,ALICIA MILLS,21,21,13,12.5238,0.3333,83.79,21,1
153,SUZANNE NICHOLS,24,24,14,2.7500,0.4583,94.76,24,0
154,MICHELE GRANT,30,30,14,2.9333,0.4333,130.70,30,2
155,GAIL KNIGHT,25,25,12,10.4800,0.5600,109.75,25,1
156,BERTHA FERGUSON,25,25,14,3.3600,0.4800,101.75,25,0
157,DARLENE ROSE,31,31,14,2.8065,0.3226,113.69,31,2
158,VERONICA STONE,32,31,15,2.7813,0.5313,126.68,32,2
159,JILL HAWKINS,21,21,10,4.1429,0.3810,68.79,21,3
160,ERIN DUNN,27,26,14,2.4444,0.5185,106.73,27,0
161,GERALDINE PERKINS,30,30,14,2.9000,0.3667,112.70,30,0
162,LAUREN HUDSON,20,20,12,13.2000,0.4500,71.80,20,1
163,CATHY SPENCER,29,28,12,8.4138,0.5172,122.71,29,1
164,JOANN GARDNER,16,16,11,5.0625,0.6250,66.84,16,3
165,LORRAINE STEPHENS,21,21,12,4.1905,0.4286,86.79,21,3
166,LYNN PAYNE,28,28,14,3.1071,0.5357,123.72,28,0
167,SALLY PIERCE,32,31,16,2.7813,0.3125,119.68,32,2
168,REGINA BERRY,34,34,13,7.7353,0.6471,135.66,34,2
169,ERICA MATTHEWS,22,21,12,3.9545,0.4091,95.78,22,3
170,BEATRICE ARNOLD,26,26,15,3.4231,0.5000,119.74,26,0
171,DOLORES WAGNER,26,25,11,3.3077,0.5769,114.74,26,0
172,BERNICE WILLIS,33,33,13,2.6667,0.5758,145.67,33,2
173,AUDREY RAY,29,28,13,3.0000,0.4483,119.71,29,0
174,YVONNE WATKINS,21,21,11,4.2857,0.4762,92.79,21,3
175,ANNETTE OLSON,24,24,12,10.1667,0.5000,98.76,24,1
176,JUNE CARROLL,37,37,13,2.4054,0.6486,173.63,37,2
177,SAMANTHA DUNCAN,23,23,13,2.9565,0.3043,71.77,23,3
178,MARION SNYDER,39,38,14,6.2564,0.6154,194.61,39,2
179,DANA HART,29,29,14,3.0000,0.5517,133.71,29,0
180,STACY CUNNINGHAM,23,23,14,11.2609,0.5652,98.77,23,1
181,ANA BRADLEY,34,32,15,7.7059,0.6471,174.66,34,2
182,RENEE LANE,26,26,13,3.3846,0.5385,97.74,26,0
183,IDA ANDREWS,23,23,13,3.6957,0.4348,76.77,23,3
184,VIVIAN RUIZ,23,23,14,3.8696,0.4783,90.77,23,0
185,ROBERTA HARPER,23,23,10,3.8261,0.3913,84.77,23,3
186,HOLLY FOX,31,30,12,8.4516,0.4194,114.69,31,1
187,BRITTANY RILEY,28,28,14,3.1786,0.7143,159.72,28,2
188,MELANIE ARMSTRONG,25,24,12,9.7200,0.2800,92.75,25,1
189,LORETTA CARPENTER,22,22,13,3.8182,0.5909,93.78,22,3
190,YOLANDA WEAVER,27,26,12,9.7407,0.4815,110.73,27,1
191,JEANETTE GREENE,20,20,12,12.9500,0.4000,74.80,20,1
192,LAURIE LAWRENCE,23,23,13,11.3043,0.5217,99.77,23,1
193,KATIE ELLIOTT,25,24,12,10.5600,0.3600,109.75,25,1
194,KRISTEN CHAVEZ,18,18,11,4.8889,0.6667,87.82,18,3
195,VANESSA SIMS,19,19,11,2.4737,0.5263,86.81,19,3
196,ALMA AUSTIN,35,34,13,2.5714,0.5714,151.65,35,2
197,SUE PETERS,40,40,15,2.2500,0.4750,154.60,40,2
198,ELSIE KELLEY,37,36,15,2.3784,0.4865,141.63,37,2
199,BETH FRANKLIN,25,25,12,10.4800,0.3600,103.75,25,1
200,JEANNE LAWSON,27,27,13,9.7778,0.6296,136.73,27,1
201,VICKI FIELDS,25,25,14,3.5600,0.5600,108.75,25,0
202,CARLA GUTIERREZ,26,26,13,2.6538,0.4615,103.74,26,0
203,TARA RYAN,20,20,10,4.4500,0.5000,88.80,20,3
204,ROSEMARY SCHMIDT,35,35,16,2.5143,0.2857,147.65,35,2
205,EILEEN CARR,18,18,14,3.7778,0.5000,80.82,18,3
206,TERRI VASQUEZ,27,26,13,2.4815,0.5926,126.73,27,0
207,GERTRUDE CASTILLO,34,34,15,2.6471,0.5882,137.66,34,2
208,LUCY WHEELER,26,25,13,10.1923,0.5385,91.74,26,1
209,TONYA CHAPMAN,32,31,13,2.7500,0.5625,161.68,32,2
210,ELLA OLIVER,31,31,13,2.7419,0.5806,137.69,31,2
211,STACEY MONTGOMERY,34,33,14,7.7647,0.6471,151.66,34,2
212,WILMA RICHARDS,20,20,9,3.4500,0.6000,91.80,20,3
213,GINA WILLIAMSON,28,28,12,9.3929,0.3214,111.72,28,1
214,KRISTIN JOHNSTON,31,30,15,8.5161,0.4516,116.69,31,2
215,JESSIE BANKS,26,26,13,10.0385,0.3462,91.74,26,1
216,NATALIE MEYER,23,23,12,11.2609,0.3913,95.77,23,1
217,AGNES BISHOP,23,23,12,3.6957,0.4783,98.77,23,3
218,VERA MCCOY,18,18,12,3.8333,0.4444,67.82,18,3
219,WILLIE HOWELL,26,26,14,10.1154,0.4615,101.74,26,1
220,CHARLENE ALVAREZ,27,26,13,3.2593,0.3704,114.73,27,0
221,BESSIE MORRISON,28,28,15,3.1429,0.6429,132.72,28,0
222,DELORES HANSEN,21,21,14,4.2381,0.7143,91.79,21,3
223,MELINDA FERNANDEZ,17,17,11,5.1176,0.5294,80.83,17,3
224,PEARL GARZA,22,22,11,3.1364,0.5000,76.78,22,3
225,ARLENE HARVEY,26,26,15,3.2308,0.6154,120.74,26,0
226,MAUREEN LITTLE,21,21,14,3.0000,0.5238,87.79,21,3
227,COLLEEN BURTON,24,24,11,11.0417,0.5000,87.76,24,1
228,ALLISON STANLEY,27,27,13,9.7037,0.3333,92.73,27,1
229,TAMARA NGUYEN,25,25,14,9.6400,0.4400,93.75,25,1
230,JOY GEORGE,33,33,13,2.6667,0.5455,124.67,33,2
231,GEORGIA JACOBS,26,26,13,3.3462,0.5769,110.74,26,0
232,CONSTANCE REID,25,25,13,3.6000,0.3600,95.75,25,0
233,LILLIE KIM,23,23,14,2.9130,0.3913,89.77,23,0
234,CLAUDIA FULLER,26,25,13,9.9615,0.5385,111.74,26,1
235,JACKIE LYNCH,25,25,12,3.4000,0.4000,93.75,25,0
236,MARCIA DEAN,42,42,15,6.2857,0.5476,175.58,42,2
237,TANYA GILBERT,33,31,15,2.7273,0.5152,144.67,33,2
238,NELLIE GARRETT,21,21,12,4.2381,0.4286,94.79,21,3
239,MINNIE ROMERO,34,34,15,2.5882,0.4412,142.66,34,2
240,MARLENE WELCH,26,26,12,3.4231,0.5769,117.74,26,0
241,HEIDI LARSON,34,34,14,2.5588,0.5588,122.66,34,2
242,GLENDA FRAZIER,32,31,13,2.7813,0.5313,140.68,32,2
243,LYDIA BURKE,24,24,10,3.6250,0.4167,82.76,24,3
244,VIOLA HANSON,32,31,14,8.1875,0.6250,129.68,32,2
245,COURTNEY DAY,32,30,15,8.2813,0.5313,132.68,32,2
246,MARIAN MENDOZA,23,22,10,3.9130,0.5217,107.77,23,3
247,STELLA MORENO,22,22,12,4.0455,0.4091,104.78,22,3
248,CAROLINE BOWMAN,15,15,9,5.8000,0.4667,50.85,15,3
249,DORA MEDINA,23,22,13,3.8261,0.5652,107.77,23,0
250,JO FOWLER,20,20,11,4.4500,0.5500,73.80,20,3
251,VICKIE BREWER,31,29,13,8.5161,0.4516,120.69,31,1
252,MATTIE HOFFMAN,22,22,12,11.8636,0.3182,64.78,22,1
253,TERRY CARLSON,29,29,14,2.9655,0.5517,127.71,29,0
254,MAXINE SILVA,32,32,14,2.7813,0.4063,116.68,32,2
255,IRMA PEARSON,18,18,11,3.7222,0.5000,70.82,18,3
256,MABEL HOLLAND,30,29,14,3.0000,0.4667,112.70,30,0
257,MARSHA DOUGLAS,37,37,13,2.4324,0.5135,151.63,37,2
258,MYRTLE FLEMING,24,24,12,2.7917,0.5833,110.76,24,0
259,LENA JENSEN,32,31,14,2.6875,0.7188,168.68,32,2
260,CHRISTY VARGAS,31,30,13,2.6452,0.6129,122.69,31,2
261,DEANNA BYRD,26,26,13,3.4231,0.4615,107.74,26,0
262,PATSY DAVIDSON,28,28,15,3.0357,0.5357,119.72,28,0
263,HILDA HOPKINS,29,29,14,9.1379,0.5172,122.71,29,1
264,GWENDOLYN MAY,25,25,13,9.8000,0.4800,98.75,25,1
265,JENNIE TERRY,29,29,13,3.0690,0.5517,133.71,29,0
266,NORA HERRERA,28,28,13,3.1786,0.5000,118.72,28,0
267,MARGIE WADE,36,36,14,7.3611,0.5833,159.64,36,2
268,NINA SOTO,29,29,14,2.3448,0.7241,123.71,29,0
269,CASSANDRA WALTERS,30,29,12,8.8667,0.4667,129.70,30,1
270,LEAH CURTIS,25,24,16,3.5600,0.6400,104.75,25,0
271,PENNY NEAL,18,18,13,4.6111,0.6111,68.82,18,3
272,KAY CALDWELL,20,20,10,4.3500,0.5500,98.80,20,3
273,PRISCILLA LOWE,35,34,14,2.5714,0.5714,157.65,35,2
274,NAOMI JENNINGS,35,35,15,7.5429,0.4571,152.65,35,2
275,CAROLE BARNETT,30,30,16,2.9333,0.4333,108.70,30,2
276,BRANDY GRAVES,28,27,15,3.0714,0.4286,122.72,28,0
277,OLGA JIMENEZ,32,32,14,2.7500,0.4688,144.68,32,2
278,BILLIE HORTON,26,25,12,3.2308,0.3077,88.74,26,0
279,DIANNE SHELTON,31,31,11,8.3871,0.3871,135.69,31,1
280,TRACEY BARRETT,27,26,13,3.1111,0.3704,118.73,27,0
281,LEONA OBRIEN,14,14,8,6.0714,0.5000,50.86,14,3
282,JENNY CASTRO,27,27,15,9.8148,0.5185,103.73,27,1
283,FELICIA SUTTON,28,28,14,2.4286,0.3571,86.72,28,0
284,SONIA GREGORY,28,28,12,9.3929,0.5000,126.72,28,1
285,MIRIAM MCKINNEY,26,26,14,2.6923,0.6538,135.74,26,0
286,VELMA LUCAS,27,27,13,3.3333,0.5556,117.73,27,0
287,BECKY MILES,29,28,11,9.0345,0.5517,115.71,29,1
288,BOBBIE CRAIG,24,24,13,3.7083,0.4167,80.76,24,3
289,VIOLET RODRIQUEZ,30,30,14,2.2000,0.6000,142.70,30,2
290,KRISTINA CHAMBERS,28,28,14,3.0714,0.5000,109.72,28,0
291,TONI HOLT,23,23,15,3.9130,0.5652,95.77,23,0
292,MISTY LAMBERT,27,27,12,3.2222,0.6296,118.73,27,0
293,MAE FLETCHER,31,30,13,2.8387,0.6774,158.69,31,2
294,SHELLY WATTS,26,26,13,3.3462,0.5769,113.74,26,0
295,DAISY BATES,38,38,15,6.9211,0.7368,162.62,38,2
296,RAMONA HALE,30,29,15,8.8000,0.5000,129.70,30,2
297,SHERRI RHODES,33,33,13,2.7273,0.4545,128.67,33,2
298,ERIKA PENA,26,25,11,3.3846,0.4231,101.74,26,0
299,JAMES GANNON,30,30,12,2.9000,0.5333,131.70,30,0
300,JOHN FARNSWORTH,31,31,15,8.4839,0.5161,137.69,31,2
301,ROBERT BAUGHMAN,21,21,14,4.2381,0.4286,92.79,21,3
302,MICHAEL SILVERMAN,29,28,13,3.1034,0.5172,127.71,29,0
303,WILLIAM SATTERFIELD,26,26,12,3.4231,0.4615,100.74,26,0
304,DAVID ROYAL,26,26,12,3.4231,0.5769,115.74,26,0
305,RICHARD MCCRARY,25,24,11,3.6000,0.4400,109.75,25,0
306,CHARLES KOWALSKI,32,32,13,2.7500,0.4688,138.68,32,2
307,JOSEPH JOY,30,30,15,2.9333,0.5667,134.70,30,2
308,THOMAS GRIGSBY,25,25,13,3.4800,0.4000,105.75,25,0
309,CHRISTOPHER GRECO,31,31,13,2.8387,0.4516,147.69,31,2
310,DANIEL CABRAL,20,19,10,4.4500,0.6000,97.80,20,3
311,PAUL TROUT,23,23,13,3.8696,0.6087,120.77,23,0
312,MARK RINEHART,26,26,13,3.4231,0.5769,104.74,26,0
313,DONALD MAHON,23,22,15,3.7826,0.5652,89.77,23,0
314,GEORGE LINTON,33,30,15,2.7273,0.6061,131.67,33,2
315,KENNETH GOODEN,17,17,13,15.4118,0.6471,84.83,17,1
316,STEVEN CURLEY,29,28,13,3.1034,0.5862,132.71,29,0
317,EDWARD BAUGH,28,26,13,9.4643,0.4286,114.72,28,1
318,BRIAN WYMAN,12,12,6,7.2500,0.5833,52.88,12,3
319,RONALD WEINER,30,29,15,2.9667,0.6000,132.70,30,2
320,ANTHONY SCHWAB,20,20,13,3.4000,0.3000,71.80,20,3
321,KEVIN SCHULER,22,21,13,4.0455,0.8636,116.78,22,0
322,JASON MORRISSEY,28,26,14,3.1786,0.4286,128.72,28,0
323,MATTHEW MAHAN,31,30,12,2.9032,0.4839,114.69,31,0
324,GARY COY,25,25,13,10.4800,0.4400,103.75,25,1
325,TIMOTHY BUNN,22,21,12,4.0455,0.3182,91.78,22,3
326,JOSE ANDREW,25,25,13,3.2400,0.4400,96.75,25,0
327,LARRY THRASHER,26,26,12,10.0769,0.5385,112.74,26,1
328,JEFFREY SPEAR,23,23,13,3.6957,0.5217,90.77,23,3
329,FRANK WAGGONER,32,32,13,2.1250,0.4688,127.68,32,2
330,SCOTT SHELLEY,25,25,11,10.4400,0.4400,94.75,25,1
331,ERIC ROBERT,27,27,13,3.3333,0.5926,122.73,27,0
332,STEPHEN QUALLS,28,27,14,3.0714,0.6429,118.72,28,0
333,ANDREW PURDY,27,27,14,3.3333,0.4444,109.73,27,0
334,RAYMOND MCWHORTER,30,28,12,8.8333,0.4667,135.70,30,1
335,GREGORY MAULDIN,23,22,11,10.3478,0.3913,78.77,23,1
336,JOSHUA MARK,30,30,13,8.1333,0.3667,119.70,30,1
337,JERRY JORDON,29,29,13,9.0690,0.5172,143.71,29,1
338,DENNIS GILMAN,28,28,12,3.0714,0.4286,114.72,28,0
339,WALTER PERRYMAN,30,30,11,2.7667,0.6333,127.70,30,0
340,PATRICK NEWSOM,31,31,13,2.1935,0.3871,119.69,31,2
341,PETER MENARD,23,23,13,3.0000,0.6522,106.77,23,0
342,HAROLD MARTINO,32,31,12,2.0625,0.4688,130.68,32,2
343,DOUGLAS GRAF,25,25,12,3.6000,0.6800,114.75,25,0
344,HENRY BILLINGSLEY,18,18,11,4.8889,0.6111,73.82,18,3
345,CARL ARTIS,23,23,12,3.8696,0.3043,106.77,23,3
346,ARTHUR SIMPKINS,32,32,13,2.8125,0.5938,155.68,32,2
347,RYAN SALISBURY,30,30,13,2.2667,0.4667,142.70,30,2
348,ROGER QUINTANILLA,36,34,14,2.4722,0.4444,146.64,36,2
349,JOE GILLILAND,29,28,12,8.9655,0.4828,138.71,29,1
350,JUAN FRALEY,23,23,12,3.9130,0.4783,73.77,23,3
351,JACK FOUST,24,24,12,3.5000,0.4583,89.76,24,3
352,ALBERT CROUSE,23,23,14,11.3478,0.3478,99.77,23,1
353,JONATHAN SCARBOROUGH,18,18,12,4.6667,0.5000,72.82,18,3
354,JUSTIN NGO,36,36,13,7.3611,0.4444,129.64,36,2
355,TERRY GRISSOM,20,20,12,12.9500,0.5500,72.80,20,1
356,GERALD FULTZ,30,29,11,2.8000,0.5000,121.70,30,0
357,KEITH RICO,26,26,11,3.4615,0.4615,89.74,26,0
358,SAMUEL MARLOW,21,20,11,3.9048,0.3810,80.79,21,3
359,WILLIE MARKHAM,25,25,12,10.5600,0.4800,101.75,25,1
360,RALPH MADRIGAL,34,34,14,2.5294,0.5882,150.66,34,2
361,LAWRENCE LAWTON,31,31,12,8.4839,0.4194,100.69,31,1
362,NICHOLAS BARFIELD,32,32,14,2.5938,0.5313,145.68,32,2
363,ROY WHITING,29,29,14,2.9310,0.5862,143.71,29,2
364,BENJAMIN VARNEY,23,23,9,3.7826,0.3478,95.77,23,3
365,BRUCE SCHWARZ,23,23,12,3.8261,0.3913,103.77,23,3
366,BRANDON HUEY,37,35,15,7.0270,0.5676,152.63,37,2
367,ADAM GOOCH,22,22,12,3.7727,0.5000,101.78,22,3
368,HARRY ARCE,35,34,16,2.5714,0.4857,157.65,35,2
369,FRED WHEAT,25,25,12,10.6000,0.2800,88.75,25,1
370,WAYNE TRUONG,19,19,12,3.6316,0.5789,70.81,19,3
371,BILLY POULIN,35,33,15,2.5714,0.5143,149.65,35,2
372,STEVE MACKENZIE,34,33,14,2.5588,0.5294,158.66,34,2
373,LOUIS LEONE,35,34,14,7.5429,0.6286,161.65,35,2
374,JEREMY HURTADO,28,28,15,9.3571,0.3929,103.72,28,1
375,AARON SELBY,24,23,10,3.7083,0.4583,110.76,24,3
376,RANDY GAITHER,28,26,13,3.0714,0.4643,110.72,28,0
377,HOWARD FORTNER,26,26,13,2.5000,0.5000,93.74,26,0
